,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
1,0.0,0.0,8.0,2.0,0.0,0.0,0.8,0.0,0.0,0.0,0.625
2,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
3,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
4,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
5,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
6,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
7,0.0,1.0,13.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,0.0,0.5
8,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
9,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
10,0.0,1.0,81.0,2.0,0.0,0.0,0.9728571428571428,0.007142857142857143,0.0,0.0,0.5125
