,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,1.0,2.0,2.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.4,0.0,0.3416666666666667
1,0.0,1.0,2.0,3.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,-0.4472135954999579,0.3416666666666667
2,2.0,2.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715,0.0,0.8500000000000001
3,1.0,0.0,3.0,2.0,1.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.5,0.4472135954999579,0.6555555555555556
4,0.0,1.0,1.0,4.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,-0.6324555320336759,0.4416666666666667
5,0.0,1.0,1.0,4.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,-0.6324555320336759,0.4625
6,0.0,1.0,1.0,3.0,0.0,0.0,0.2,0.2,0.0,-0.6123724356957946,0.4611111111111111
7,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6666666666666666,0.16666666666666666,0.7638888888888888
8,1.0,0.0,2.0,2.0,1.0,0.3333333333333333,0.6,0.2,0.5,0.4082482904638631,1.0
9,2.0,0.0,2.0,1.0,1.0,0.6666666666666666,0.8,0.4,0.8,0.6666666666666666,0.9027777777777777
10,9.0,8.0,16.0,23.0,0.4666666666666666,0.3,0.4533333333333333,0.3066666666666667,0.34380952380952384,-0.063570187596595,0.6220833333333333
