,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,6.0,29.0,2.0,0.14285714285714285,0.3333333333333333,0.7894736842105263,0.18421052631578946,0.2,0.11262230325604086,0.07950513538748832
1,1.0,4.0,31.0,1.0,0.2,0.5,0.8648648648648649,0.13513513513513514,0.28571428571428575,0.2551260192812284,0.12837009803921567
2,1.0,5.0,30.0,1.0,0.16666666666666666,0.5,0.8378378378378378,0.16216216216216217,0.25,0.2190960341873412,0.1164361001317523
3,0.0,3.0,32.0,2.0,0.0,0.0,0.8648648648648649,0.08108108108108109,0.0,-0.07100716024967263,0.06331699346405228
4,0.0,2.0,32.0,3.0,0.0,0.0,0.8648648648648649,0.05405405405405406,0.0,-0.07100716024967263,0.12568232421173597
5,2.0,3.0,31.0,1.0,0.4,0.6666666666666666,0.8918918918918919,0.13513513513513514,0.5,0.46184041467529774,0.2451388888888889
6,0.0,3.0,31.0,3.0,0.0,0.0,0.8378378378378378,0.08108108108108109,0.0,-0.08823529411764706,0.06371326758323662
7,1.0,5.0,29.0,2.0,0.16666666666666666,0.3333333333333333,0.8108108108108109,0.16216216216216217,0.2222222222222222,0.13794216659186018,0.12621782719821936
8,2.0,8.0,26.0,1.0,0.2,0.6666666666666666,0.7567567567567568,0.2702702702702703,0.30769230769230765,0.265137226222802,0.17359058565955116
9,0.0,9.0,25.0,3.0,0.0,0.0,0.6756756756756757,0.24324324324324326,0.0,-0.16840826742715195,0.06767336930380409
10,8.0,48.0,296.0,19.0,0.1276190476190476,0.29999999999999993,0.8194879089615933,0.15085348506401136,0.17656288156288158,0.10531062821704262,0.11896445898679446
