,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
3,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
5,0.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
6,0.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
7,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
8,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
9,0.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
10,0.0,426.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
