,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
3,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,1.0
4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-1.0,0.25
5,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.75
6,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.75
7,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.75
8,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,0.75
9,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,0.6666666666666666,0.0,1.0
10,6.0,12.0,1.0,1.0,0.3,0.6,0.35,0.9,0.39999999999999997,-0.1,0.75
