,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,9.0,1.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.5
1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
2,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
4,0.0,9.0,1.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.5
5,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
6,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
7,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
8,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
9,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
10,0.0,60.0,30.0,0.0,0.0,0.0,0.32,0.6799999999999999,0.0,0.0,0.5
